2019-01-07 22:05:03,119, p2, s1, a52bb87a-e10c-47a7-9781-7643744f50a1, S1 completed
2019-01-07 22:05:03,119, p2, s0, 99deb98d-3387-4d52-9722-50b328c96953, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 99deb98d-3387-4d52-9722-50b328c96953, S1 completed
2019-01-07 22:05:03,119, p2, s0, 9ff184d9-4c4b-436b-9d66-50091df739c5, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 9ff184d9-4c4b-436b-9d66-50091df739c5, S1 completed
2019-01-07 22:05:03,119, p2, s0, 4df39638-6ad9-4136-a904-f49eca5554e6, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 4df39638-6ad9-4136-a904-f49eca5554e6, S1 completed
2019-01-07 22:05:03,119, p2, s0, f0d30b37-8d57-4a89-a283-86bb04d06e34, S1 initiated
2019-01-07 22:05:03,119, p2, s1, f0d30b37-8d57-4a89-a283-86bb04d06e34, S1 completed
2019-01-07 22:05:03,119, p2, s0, ffc0e483-738b-4a5b-bbd9-672274842d7b, S1 initiated
2019-01-07 22:05:03,119, p2, s1, ffc0e483-738b-4a5b-bbd9-672274842d7b, S1 completed
2019-01-07 22:05:03,119, p2, s0, a1ed5c73-4c0d-41b6-99c6-637458beb856, S1 initiated
2019-01-07 22:05:03,120, p2, s1, a1ed5c73-4c0d-41b6-99c6-637458beb856, S1 completed
2019-01-07 22:05:03,120, p2, s0, 9f5d56cc-2655-48a9-9bbb-aaed08fb6688, S1 initiated
2019-01-07 22:05:03,120, p2, s1, 9f5d56cc-2655-48a9-9bbb-aaed08fb6688, S1 completed
2019-01-07 22:05:03,120, p2, s0, bd7f3572-fd20-461f-889f-b66699b29fd5, S1 initiated
2019-01-07 22:05:03,120, p2, s1, bd7f3572-fd20-461f-889f-b66699b29fd5, S1 completed
2019-01-07 22:05:03,120, p2, s0, be8037fd-2d28-4e4d-ad64-3d7e446d064c, S1 initiated
2019-01-07 22:05:03,120, p2, s1, be8037fd-2d28-4e4d-ad64-3d7e446d064c, S1 completed
2019-01-07 22:05:03,120, p2, s0, 9011ce57-6b6f-4814-973a-8ff34e716b98, S1 initiated
2019-01-07 22:05:03,120, p2, s1, 9011ce57-6b6f-4814-973a-8ff34e716b98, S1 completed
2019-01-07 22:05:03,120, p2, s0, f9e9e966-60a9-43b4-a93d-cf94e5ac4dd7, S1 initiated
2019-01-07 22:05:03,120, p2, s1, f9e9e966-60a9-43b4-a93d-cf94e5ac4dd7, S1 completed
2019-01-07 22:05:03,120, p2, s0, d17acf31-8b0d-4c50-a30e-c96598624a89, S1 initiated
2019-01-07 22:05:03,120, p2, s1, d17acf31-8b0d-4c50-a30e-c96598624a89, S1 completed
2019-01-07 22:05:03,120, p2, s0, 96a9e799-d8c8-4379-bf42-3c4fbd8c48d0, S1 initiated
2019-01-07 22:05:03,120, p2, s1, 96a9e799-d8c8-4379-bf42-3c4fbd8c48d0, S1 completed
2019-01-07 22:05:03,120, p2, s0, 0a783f79-4db1-4535-8a47-88a5e50a29fe, S1 initiated
2019-01-07 22:05:03,120, p2, s1, 0a783f79-4db1-4535-8a47-88a5e50a29fe, S1 completed
2019-01-07 22:05:03,120, p2, s0, bfb2a5fa-ffa8-48c0-98af-bfb687415c84, S1 initiated
2019-01-07 22:05:03,120, p2, s1, bfb2a5fa-ffa8-48c0-98af-bfb687415c84, S1 completed
2019-01-07 22:05:03,120, p2, s0, c998220e-ee86-4efc-b60a-a580929b2fc3, S1 initiated
2019-01-07 22:05:03,120, p2, s1, c998220e-ee86-4efc-b60a-a580929b2fc3, S1 completed
2019-01-07 22:05:03,121, p2, s0, 5511d1a8-10c5-469d-8e54-d1c93f078d15, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 5511d1a8-10c5-469d-8e54-d1c93f078d15, S1 completed
2019-01-07 22:05:03,121, p2, s0, 70fc3e96-79e1-4bc4-812d-efcaa13cd329, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 70fc3e96-79e1-4bc4-812d-efcaa13cd329, S1 completed
2019-01-07 22:05:03,121, p2, s0, 11111369-b74a-48ae-81ea-6fa32d0d1c97, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 11111369-b74a-48ae-81ea-6fa32d0d1c97, S1 completed
2019-01-07 22:05:03,121, p2, s0, 867a1073-bb76-4917-8b9f-3e0491532789, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 867a1073-bb76-4917-8b9f-3e0491532789, S1 completed
2019-01-07 22:05:03,121, p2, s0, 7ed0c14c-1170-480a-a290-146e02d904ee, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 7ed0c14c-1170-480a-a290-146e02d904ee, S1 completed
2019-01-07 22:05:03,121, p2, s0, 3f54c1c5-5c13-4a07-be61-9760ea248ff5, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 3f54c1c5-5c13-4a07-be61-9760ea248ff5, S1 completed
2019-01-07 22:05:03,121, p2, s0, c3f2f2ff-9746-4de3-a11e-4422713384e3, S1 initiated
2019-01-07 22:05:03,121, p2, s1, c3f2f2ff-9746-4de3-a11e-4422713384e3, S1 completed
2019-01-07 22:05:03,121, p2, s0, ddae6587-d3c6-4109-a306-0cb692af1fc4, S1 initiated
2019-01-07 22:05:03,121, p2, s1, ddae6587-d3c6-4109-a306-0cb692af1fc4, S1 completed
2019-01-07 22:05:03,121, p2, s0, c0a20fc9-8ddc-4779-b21d-3fa46b4d8328, S1 initiated
2019-01-07 22:05:03,121, p2, s1, c0a20fc9-8ddc-4779-b21d-3fa46b4d8328, S1 completed
2019-01-07 22:05:03,121, p2, s0, 9d7293af-4091-4985-be0d-d0a5ad18f46f, S1 initiated
2019-01-07 22:05:03,121, p2, s1, 9d7293af-4091-4985-be0d-d0a5ad18f46f, S1 completed
2019-01-07 22:05:03,121, p2, s0, 8b7650ea-fe49-45da-bb2a-901462fd4c5e, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 8b7650ea-fe49-45da-bb2a-901462fd4c5e, S1 completed
2019-01-07 22:05:03,122, p2, s0, 31eefb4d-7c7c-4f2c-8376-eec1adc0c692, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 31eefb4d-7c7c-4f2c-8376-eec1adc0c692, S1 completed
2019-01-07 22:05:03,122, p2, s0, a3bade09-8153-4fa6-8731-ab5d78ebe673, S1 initiated
2019-01-07 22:05:03,122, p2, s1, a3bade09-8153-4fa6-8731-ab5d78ebe673, S1 completed
2019-01-07 22:05:03,122, p2, s0, 0726e992-e9dc-4e8c-9923-f5de9a6d0b01, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 0726e992-e9dc-4e8c-9923-f5de9a6d0b01, S1 completed
2019-01-07 22:05:03,122, p2, s0, 03a655b5-c4f5-4d62-b72b-adb38af80abe, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 03a655b5-c4f5-4d62-b72b-adb38af80abe, S1 completed
2019-01-07 22:05:03,122, p2, s0, a718201a-0cd4-4479-9fc6-3cf1aa107761, S1 initiated
2019-01-07 22:05:03,122, p2, s1, a718201a-0cd4-4479-9fc6-3cf1aa107761, S1 completed
2019-01-07 22:05:03,122, p2, s0, 4a2cc9e7-615a-484d-ad16-d4c1bb4507b6, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 4a2cc9e7-615a-484d-ad16-d4c1bb4507b6, S1 completed
2019-01-07 22:05:03,122, p2, s0, bfd4002d-0ebd-461b-ae59-3e895a7a46d4, S1 initiated
2019-01-07 22:05:03,122, p2, s1, bfd4002d-0ebd-461b-ae59-3e895a7a46d4, S1 completed
2019-01-07 22:05:03,122, p2, s0, 9b65e04e-da27-46fe-bc71-02b4ee6ffd39, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 9b65e04e-da27-46fe-bc71-02b4ee6ffd39, S1 completed
2019-01-07 22:05:03,122, p2, s0, 64c26457-bb56-4858-9842-2c6cf516e86d, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 64c26457-bb56-4858-9842-2c6cf516e86d, S1 completed
2019-01-07 22:05:03,122, p2, s0, 8445ed06-02ac-4f1f-bd34-2a7ac98af5a3, S1 initiated
2019-01-07 22:05:03,122, p2, s1, 8445ed06-02ac-4f1f-bd34-2a7ac98af5a3, S1 completed
2019-01-07 22:05:03,122, p2, s0, 766ab9db-028f-41e3-8feb-e6de3ec15bc0, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 766ab9db-028f-41e3-8feb-e6de3ec15bc0, S1 completed
2019-01-07 22:05:03,123, p2, s0, 610d10c8-353c-4532-9837-8d286f4cdb78, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 610d10c8-353c-4532-9837-8d286f4cdb78, S1 completed
2019-01-07 22:05:03,123, p2, s0, 02f0f98d-7e0d-491f-8471-ff7a88eda839, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 02f0f98d-7e0d-491f-8471-ff7a88eda839, S1 completed
2019-01-07 22:05:03,123, p2, s0, 8ef82e6b-1928-4ce7-a772-5dcfaaf3a624, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 8ef82e6b-1928-4ce7-a772-5dcfaaf3a624, S1 completed
2019-01-07 22:05:03,123, p2, s0, 5a407c17-9baa-4685-bdcd-40d22a3ed416, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 5a407c17-9baa-4685-bdcd-40d22a3ed416, S1 completed
2019-01-07 22:05:03,123, p2, s0, c78531b4-a155-419a-a909-180ec4de7a0c, S1 initiated
2019-01-07 22:05:03,123, p2, s1, c78531b4-a155-419a-a909-180ec4de7a0c, S1 completed
2019-01-07 22:05:03,123, p2, s0, 94b121f8-8698-4d09-845e-375f8634fe2d, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 94b121f8-8698-4d09-845e-375f8634fe2d, S1 completed
2019-01-07 22:05:03,123, p2, s0, 82fa7a01-7ec1-4c2c-b30e-cbf93b9ec5a6, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 82fa7a01-7ec1-4c2c-b30e-cbf93b9ec5a6, S1 completed
2019-01-07 22:05:03,123, p2, s0, 3b7b649d-3a9e-4acc-9380-271151101782, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 3b7b649d-3a9e-4acc-9380-271151101782, S1 completed
2019-01-07 22:05:03,123, p2, s0, 7dfef686-43be-4426-be2d-27c5da709e54, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 7dfef686-43be-4426-be2d-27c5da709e54, S1 completed
2019-01-07 22:05:03,123, p2, s0, 45a06e3b-3441-4a6c-8555-bd131089cecc, S1 initiated
2019-01-07 22:05:03,123, p2, s1, 45a06e3b-3441-4a6c-8555-bd131089cecc, S1 completed
2019-01-07 22:05:03,124, p2, s0, 04b2aaca-5d13-49e1-8019-a96d1985081a, S1 initiated
2019-01-07 22:05:03,124, p2, s1, 04b2aaca-5d13-49e1-8019-a96d1985081a, S1 completed
2019-01-07 22:05:03,124, p2, s0, 3ea64d83-a17d-4e2b-96fe-c0099794db8e, S1 initiated
2019-01-07 22:05:03,124, p2, s1, 3ea64d83-a17d-4e2b-96fe-c0099794db8e, S1 completed
