2019-01-07 23:13:08,897, p3, s0, 8c334b2f-b8df-4a67-bc09-f727020cf818, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 8c334b2f-b8df-4a67-bc09-f727020cf818, S1 completed
2019-01-07 23:13:08,897, p3, s0, 8687ebaf-5c64-4521-a798-9fbdfb8458aa, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 8687ebaf-5c64-4521-a798-9fbdfb8458aa, S1 completed
2019-01-07 23:13:08,897, p3, s0, 36bc2b9b-efe4-4307-b1f0-e68095b7c332, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 36bc2b9b-efe4-4307-b1f0-e68095b7c332, S1 completed
2019-01-07 23:13:08,897, p3, s0, 6050f719-66be-48e6-b217-a7bbfb71cb78, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 6050f719-66be-48e6-b217-a7bbfb71cb78, S1 completed
2019-01-07 23:13:08,897, p3, s0, 48d584c5-e268-4feb-b5de-1c332be2899c, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 48d584c5-e268-4feb-b5de-1c332be2899c, S1 completed
2019-01-07 23:13:08,897, p3, s0, dbf00b7b-ba84-4d86-92b7-35c875776629, S1 initiated
2019-01-07 23:13:08,897, p3, s1, dbf00b7b-ba84-4d86-92b7-35c875776629, S1 completed
2019-01-07 23:13:08,903, p3, s0, 80281af7-def5-43d3-99c5-583bf6511c9a, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 80281af7-def5-43d3-99c5-583bf6511c9a, S1 completed
2019-01-07 23:13:08,903, p3, s0, 155c7ba4-547a-408e-afdf-473e93f94ca5, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 155c7ba4-547a-408e-afdf-473e93f94ca5, S1 completed
2019-01-07 23:13:08,903, p3, s0, 1fcdc6c0-9648-49c4-8ba2-03158e004b33, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 1fcdc6c0-9648-49c4-8ba2-03158e004b33, S1 completed
2019-01-07 23:13:08,903, p3, s0, 0ae550b5-ac9b-49e7-a15d-e2d217904ac3, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 0ae550b5-ac9b-49e7-a15d-e2d217904ac3, S1 completed
2019-01-07 23:13:08,903, p3, s0, 9bf7c85e-11d6-43ad-80c2-1ca22ef96b4c, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 9bf7c85e-11d6-43ad-80c2-1ca22ef96b4c, S1 completed
2019-01-07 23:13:08,903, p3, s0, 2e165257-fce3-482a-a938-a95ff820454a, S1 initiated
2019-01-07 23:13:08,903, p3, s1, 2e165257-fce3-482a-a938-a95ff820454a, S1 completed
2019-01-07 23:13:08,903, p3, s0, eb5fb583-be7b-4040-97e8-7239c7e352ce, S1 initiated
2019-01-07 23:13:08,903, p3, s1, eb5fb583-be7b-4040-97e8-7239c7e352ce, S1 completed
2019-01-07 23:13:08,903, p3, s0, f0a938dd-5229-41ef-9fc4-a2ab6d4ffa6f, S1 initiated
2019-01-07 23:13:08,903, p3, s1, f0a938dd-5229-41ef-9fc4-a2ab6d4ffa6f, S1 completed
2019-01-07 23:13:08,903, p3, s0, 14f6370c-e426-4aea-ba47-104e53efb676, S1 initiated
2019-01-07 23:13:08,904, p3, s1, 14f6370c-e426-4aea-ba47-104e53efb676, S1 completed
2019-01-07 23:13:08,904, p3, s0, 3228d6c8-27c5-4ddc-ad5a-26f7fab17a9d, S1 initiated
2019-01-07 23:13:08,904, p3, s1, 3228d6c8-27c5-4ddc-ad5a-26f7fab17a9d, S1 completed
2019-01-07 23:13:08,904, p3, s0, b7faa0dc-a706-411e-b929-3100658ee9f7, S1 initiated
2019-01-07 23:13:08,904, p3, s1, b7faa0dc-a706-411e-b929-3100658ee9f7, S1 completed
2019-01-07 23:13:08,904, p3, s0, b8ce350d-2e50-4aea-bf8c-7c10de7fca8e, S1 initiated
2019-01-07 23:13:08,904, p3, s1, b8ce350d-2e50-4aea-bf8c-7c10de7fca8e, S1 completed
2019-01-07 23:13:08,904, p3, s0, 6357535d-f480-4081-978c-98b91d86e605, S1 initiated
2019-01-07 23:13:08,904, p3, s1, 6357535d-f480-4081-978c-98b91d86e605, S1 completed
2019-01-07 23:13:08,904, p3, s0, 2d663ada-4ce3-408c-ae10-c92c8c65b2ce, S1 initiated
2019-01-07 23:13:08,904, p3, s1, 2d663ada-4ce3-408c-ae10-c92c8c65b2ce, S1 completed
2019-01-07 23:13:08,904, p3, s0, d1eeb1fb-37d1-4243-887f-ad0b8567ae1d, S1 initiated
2019-01-07 23:13:08,904, p3, s1, d1eeb1fb-37d1-4243-887f-ad0b8567ae1d, S1 completed
2019-01-07 23:13:08,904, p3, s0, d24698fb-6bba-4946-947e-5c9bb6bf52a6, S1 initiated
2019-01-07 23:13:08,904, p3, s1, d24698fb-6bba-4946-947e-5c9bb6bf52a6, S1 completed
2019-01-07 23:13:08,904, p3, s0, e8505808-f25e-46b0-bee0-f564e27252ef, S1 initiated
2019-01-07 23:13:08,904, p3, s1, e8505808-f25e-46b0-bee0-f564e27252ef, S1 completed
2019-01-07 23:13:08,904, p3, s0, e05ac3d9-38fd-4cb9-9144-b5c957caea00, S1 initiated
2019-01-07 23:13:08,904, p3, s1, e05ac3d9-38fd-4cb9-9144-b5c957caea00, S1 completed
2019-01-07 23:13:08,904, p3, s0, b006bd0e-a6b8-4948-b2f7-d6b16d55032a, S1 initiated
2019-01-07 23:13:08,904, p3, s1, b006bd0e-a6b8-4948-b2f7-d6b16d55032a, S1 completed
2019-01-07 23:13:08,905, p3, s0, 7e6fa56b-7216-4276-82ee-2d6d98478308, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 7e6fa56b-7216-4276-82ee-2d6d98478308, S1 completed
2019-01-07 23:13:08,905, p3, s0, 0f90f133-0a12-4273-8019-9f08eafa042a, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 0f90f133-0a12-4273-8019-9f08eafa042a, S1 completed
2019-01-07 23:13:08,905, p3, s0, 6d73d125-1d86-4d1f-826a-5a95dc8a570d, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 6d73d125-1d86-4d1f-826a-5a95dc8a570d, S1 completed
2019-01-07 23:13:08,905, p3, s0, 306d56e1-f2ad-471a-91e9-82fb0928c81b, S1 initiated
