2019-01-07 16:18:19,791, p1, s0, 08be6cc5-81a6-4589-9a53-6bc2997fe33b, S1 initiated
2019-01-07 16:18:19,802, p1, s1, 08be6cc5-81a6-4589-9a53-6bc2997fe33b, S1 completed
2019-01-07 16:18:19,802, p1, s0, c8111dfe-265d-41b5-8c2a-749afa3c3be9, S1 initiated
2019-01-07 16:18:19,812, p1, s1, c8111dfe-265d-41b5-8c2a-749afa3c3be9, S1 completed
2019-01-07 16:18:19,813, p1, s0, e36b5459-5531-40d4-bb50-54ba499623df, S1 initiated
2019-01-07 16:18:19,823, p1, s1, e36b5459-5531-40d4-bb50-54ba499623df, S1 completed
2019-01-07 16:18:19,823, p1, s0, e22d5efc-f480-4b3f-9d5a-87c1f5e6f056, S1 initiated
2019-01-07 16:18:19,834, p1, s1, e22d5efc-f480-4b3f-9d5a-87c1f5e6f056, S1 completed
2019-01-07 16:18:19,834, p1, s0, a3954c76-90a7-415e-b0a8-7b5b88c7bac1, S1 initiated
2019-01-07 16:18:19,845, p1, s1, a3954c76-90a7-415e-b0a8-7b5b88c7bac1, S1 completed
2019-01-07 16:18:19,845, p1, s0, 462c0340-6302-4940-b65d-a830178c9a2c, S1 initiated
2019-01-07 16:18:19,855, p1, s1, 462c0340-6302-4940-b65d-a830178c9a2c, S1 completed
2019-01-07 16:18:19,856, p1, s0, 3a69c1f2-c64e-4873-9845-4a2228149208, S1 initiated
2019-01-07 16:18:19,866, p1, s1, 3a69c1f2-c64e-4873-9845-4a2228149208, S1 completed
2019-01-07 16:18:19,866, p1, s0, 2c0de5da-3cb1-4817-9eb2-59a65bf4d528, S1 initiated
2019-01-07 16:18:19,877, p1, s1, 2c0de5da-3cb1-4817-9eb2-59a65bf4d528, S1 completed
2019-01-07 16:18:19,877, p1, s0, 69df6120-0b47-4d38-8e56-8e964ff22bee, S1 initiated
2019-01-07 16:18:19,887, p1, s1, 69df6120-0b47-4d38-8e56-8e964ff22bee, S1 completed
2019-01-07 16:18:19,888, p1, s0, 11cff945-69e6-462d-9818-1bf43024ea67, S1 initiated
2019-01-07 16:18:19,898, p1, s1, 11cff945-69e6-462d-9818-1bf43024ea67, S1 completed
2019-01-07 16:18:19,898, p1, s0, f81d3850-bf36-4cdc-b575-bf3372b1392b, S1 initiated
2019-01-07 16:18:19,909, p1, s1, f81d3850-bf36-4cdc-b575-bf3372b1392b, S1 completed
2019-01-07 16:18:19,909, p1, s0, 7417d170-d64f-4ce1-963f-317097e5d8de, S1 initiated
